full_name	title	description	hyperlink	count	repeatmasker_type	repeatmasker_subtype	repbase_equiv	wicker_equiv	curcio_derbyshire_equiv	piegu_equiv
Accidental	Accidental/spontaneous integration events.									
Accidental;Normally_Non-integrating_Virus	Virus families that are more likely the result of spontaneous integration rather than Retrotranposition. 			3	Other	DNA_virus				
Artifact	Elements often found in cloning vectors that may contaminate sequencing projects.				ARTEFACT					
Interspersed_Repeat	A repetitive sequence with copies interspersed throughout an organisms genome.									
Interspersed_Repeat;Pseudogene	Duplications of existing genes in an organism.									
Interspersed_Repeat;Pseudogene;RNA	Non-translated, small RNA genes often found in high copy number.	Related genes are included			RNA					
Interspersed_Repeat;Pseudogene;RNA;rRNA	Copies of a ribosomal RNA (rRNA) gene or pseudogene.			202	rRNA					
Interspersed_Repeat;Pseudogene;RNA;scRNA				12	scRNA					
Interspersed_Repeat;Pseudogene;RNA;snRNA	Copies of a small nuclear RNA (snRNA) gene or pseudogene.	Small nuclear RNAs include 7SK RNA and the U1 to U13. They are dependent on external promoters and are theferore much less frequently involved in the creation of a SINE		186	snRNA					
Interspersed_Repeat;Pseudogene;RNA;tRNA	Copies of a transfer RNA (tRNA) gene or pseudogene.	In mammals,  tRNAs copies can occur in relatively large numbers (up to a thousand copies) The boundary between a large number of accidentally retroposed or otherwise duplicated (pseudo)genes and a low copy number SINE (selected on its ability to propagate) is nebulous		647	tRNA					
Interspersed_Repeat;Transposable_Element	Families that are the direct result of transposition events.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition	Elements that do not require an RNA intermediate in their transposition lifecycle.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase										
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Casposon	Archaeal and bacterial mobile elements at the origin of CRISPR-Cas immunity.	PMID 24884953, 26764427	https://www.ncbi.nlm.nih.gov/pubmed/?term=24884953		DNA	Casposons				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Maverick				268	DNA	Maverick	DNA/Polinton	D/M (Maverick)/M (Maverick)		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Maverick;Maverick-Mavirus		Maverick-Mavirus			DNA	Maverick-Mavirus	DNA/Polinton	D/M (Maverick)/M (Maverick)		
